danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|type|id|uri|track_href|analysis_url|duration_ms|time_signature|artist_name|song_name|num_top|popularity
0.751|0.819|11|-4.372|0|0.0409|0.255|0.0|0.236|0.697|131.842|audio_features|0R6NfOiLzLj4O5VbYSJAjf|spotify:track:0R6NfOiLzLj4O5VbYSJAjf|https://api.spotify.com/v1/tracks/0R6NfOiLzLj4O5VbYSJAjf|https://api.spotify.com/v1/audio-analysis/0R6NfOiLzLj4O5VbYSJAjf|172264|3|Xavi|La Diabla|1|98
0.778|0.835|11|-3.598|0|0.0767|0.152|0.0|0.109|0.666|140.082|audio_features|5XVdHRf4CAJ2Jm0uMIy5qY|spotify:track:5XVdHRf4CAJ2Jm0uMIy5qY|https://api.spotify.com/v1/tracks/5XVdHRf4CAJ2Jm0uMIy5qY|https://api.spotify.com/v1/audio-analysis/5XVdHRf4CAJ2Jm0uMIy5qY|156346|4|Xavi|La Víctima|2|95
0.694|0.588|2|-6.24|1|0.0565|0.358|0.0|0.299|0.794|73.929|audio_features|3QQAeMQbbjZXVFbF8DgFWT|spotify:track:3QQAeMQbbjZXVFbF8DgFWT|https://api.spotify.com/v1/tracks/3QQAeMQbbjZXVFbF8DgFWT|https://api.spotify.com/v1/audio-analysis/3QQAeMQbbjZXVFbF8DgFWT|169440|4|Oscar Ortiz|FIRST LOVE|3|91
0.792|0.516|4|-6.097|0|0.027|0.197|0.0|0.0855|0.916|108.939|audio_features|51qYdMBxt9mFbtZBzq1Yfi|spotify:track:51qYdMBxt9mFbtZBzq1Yfi|https://api.spotify.com/v1/tracks/51qYdMBxt9mFbtZBzq1Yfi|https://api.spotify.com/v1/audio-analysis/51qYdMBxt9mFbtZBzq1Yfi|185933|4|Julión Álvarez y su Norteño Banda|Regalo De Dios|4|88
0.791|0.499|8|-8.472|0|0.0509|0.446|2.41e-05|0.0899|0.669|99.986|audio_features|6XjDF6nds4DE2BBbagZol6|spotify:track:6XjDF6nds4DE2BBbagZol6|https://api.spotify.com/v1/tracks/6XjDF6nds4DE2BBbagZol6|https://api.spotify.com/v1/audio-analysis/6XjDF6nds4DE2BBbagZol6|222000|4|FloyyMenor|Gata Only|5|92
0.808|0.944|10|-4.863|0|0.0408|0.183|1.11e-06|0.138|0.937|124.934|audio_features|6uIIdjYTxxpWOyWuVXrKQO|spotify:track:6uIIdjYTxxpWOyWuVXrKQO|https://api.spotify.com/v1/tracks/6uIIdjYTxxpWOyWuVXrKQO|https://api.spotify.com/v1/audio-analysis/6uIIdjYTxxpWOyWuVXrKQO|191467|3|Calle 24|Que Onda|6|92
0.815|0.741|1|-6.04|1|0.0569|0.0277|0.0183|0.219|0.591|125.031|audio_features|6CvTEtGagmzQvkUzzyKR9k|spotify:track:6CvTEtGagmzQvkUzzyKR9k|https://api.spotify.com/v1/tracks/6CvTEtGagmzQvkUzzyKR9k|https://api.spotify.com/v1/audio-analysis/6CvTEtGagmzQvkUzzyKR9k|143327|4|Fuerza Regida|HARLEY QUINN|7|92
0.685|0.61|5|-5.36|0|0.0343|0.00348|0.00054|0.183|0.464|107.999|audio_features|6XaJfhwof7qIgbbXO5tIQI|spotify:track:6XaJfhwof7qIgbbXO5tIQI|https://api.spotify.com/v1/tracks/6XaJfhwof7qIgbbXO5tIQI|https://api.spotify.com/v1/audio-analysis/6XaJfhwof7qIgbbXO5tIQI|260371|4|Kali Uchis|Igual Que Un Ángel (with Peso Pluma)|8|94
0.761|0.658|11|-7.188|1|0.0429|0.292|1.55e-06|0.137|0.895|125.036|audio_features|6YOfGIE6iFxC7G8OlGGvzW|spotify:track:6YOfGIE6iFxC7G8OlGGvzW|https://api.spotify.com/v1/tracks/6YOfGIE6iFxC7G8OlGGvzW|https://api.spotify.com/v1/audio-analysis/6YOfGIE6iFxC7G8OlGGvzW|168677|3|Junior H|ROCKSTAR|9|88
0.76|0.711|1|-6.966|1|0.0646|0.0812|0.0|0.0921|0.798|128.134|audio_features|1xgWArLVFD1AKsLzftZYc2|spotify:track:1xgWArLVFD1AKsLzftZYc2|https://api.spotify.com/v1/tracks/1xgWArLVFD1AKsLzftZYc2|https://api.spotify.com/v1/audio-analysis/1xgWArLVFD1AKsLzftZYc2|196832|3|Oscar Maydon|Elvira|10|86
0.728|0.589|7|-7.115|1|0.0376|0.424|7.78e-06|0.166|0.767|77.475|audio_features|6RcAHyC5sAUIbPTkhOQwd8|spotify:track:6RcAHyC5sAUIbPTkhOQwd8|https://api.spotify.com/v1/tracks/6RcAHyC5sAUIbPTkhOQwd8|https://api.spotify.com/v1/audio-analysis/6RcAHyC5sAUIbPTkhOQwd8|179013|4|Junior H|Y LLORO|11|89
0.76|0.747|0|-5.083|0|0.0282|0.0675|2.73e-06|0.309|0.884|128.912|audio_features|3FqUPvubYeRCMsdJ02QyZR|spotify:track:3FqUPvubYeRCMsdJ02QyZR|https://api.spotify.com/v1/tracks/3FqUPvubYeRCMsdJ02QyZR|https://api.spotify.com/v1/audio-analysis/3FqUPvubYeRCMsdJ02QyZR|152079|3|Fuerza Regida|TÚ NAME|12|84
0.774|0.86|7|-2.888|0|0.13|0.131|0.0|0.116|0.446|100.019|audio_features|7bywjHOc0wSjGGbj04XbVi|spotify:track:7bywjHOc0wSjGGbj04XbVi|https://api.spotify.com/v1/tracks/7bywjHOc0wSjGGbj04XbVi|https://api.spotify.com/v1/audio-analysis/7bywjHOc0wSjGGbj04XbVi|196800|4|Feid|LUNA|13|96
0.744|0.842|10|-6.576|0|0.0358|0.101|2.43e-06|0.148|0.814|125.258|audio_features|1sXr6moCwVxwKEgSPxhVvF|spotify:track:1sXr6moCwVxwKEgSPxhVvF|https://api.spotify.com/v1/tracks/1sXr6moCwVxwKEgSPxhVvF|https://api.spotify.com/v1/audio-analysis/1sXr6moCwVxwKEgSPxhVvF|170832|3|Calle 24|Apaga El Cel|14|88
0.909|0.762|9|-3.974|1|0.0643|0.434|0.0|0.0856|0.843|101.987|audio_features|4bw8mcDUSRWfQo63ZTYRnU|spotify:track:4bw8mcDUSRWfQo63ZTYRnU|https://api.spotify.com/v1/tracks/4bw8mcDUSRWfQo63ZTYRnU|https://api.spotify.com/v1/audio-analysis/4bw8mcDUSRWfQo63ZTYRnU|142335|3|Maluma|Según Quién|15|89
0.684|0.509|8|-10.702|1|0.0397|0.076|0.0|0.0533|0.796|99.24|audio_features|127UT7AiWflJwjXWUBBVTQ|spotify:track:127UT7AiWflJwjXWUBBVTQ|https://api.spotify.com/v1/tracks/127UT7AiWflJwjXWUBBVTQ|https://api.spotify.com/v1/audio-analysis/127UT7AiWflJwjXWUBBVTQ|242133|4|Natanael Cano|O Me Voy O Te Vas|16|87
0.841|0.738|7|-7.455|0|0.307|0.52|0.0|0.0892|0.484|169.918|audio_features|5RqSsdzTNPX1uzkmlHCFvK|spotify:track:5RqSsdzTNPX1uzkmlHCFvK|https://api.spotify.com/v1/tracks/5RqSsdzTNPX1uzkmlHCFvK|https://api.spotify.com/v1/audio-analysis/5RqSsdzTNPX1uzkmlHCFvK|172798|4|KAROL G|QLONA|17|92
0.779|0.88|4|-2.212|0|0.065|0.426|0.0|0.0691|0.732|140.282|audio_features|4loIMejzvt11s97SGVEat8|spotify:track:4loIMejzvt11s97SGVEat8|https://api.spotify.com/v1/tracks/4loIMejzvt11s97SGVEat8|https://api.spotify.com/v1/audio-analysis/4loIMejzvt11s97SGVEat8|156040|3|Xavi|Poco A Poco|18|90
0.787|0.769|7|-4.681|0|0.0335|0.00331|0.00332|0.115|0.509|128.0|audio_features|6ED7qim1NAX1HjNU8039WS|spotify:track:6ED7qim1NAX1HjNU8039WS|https://api.spotify.com/v1/tracks/6ED7qim1NAX1HjNU8039WS|https://api.spotify.com/v1/audio-analysis/6ED7qim1NAX1HjNU8039WS|197114|4|Eugenio Esquivel|Alucin|19|90
