danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|type|id|uri|track_href|analysis_url|duration_ms|time_signature|artist_name|song_name|num_top|popularity
0.732|0.873|0|-5.965|1|0.0321|0.0449|0.000803|0.347|0.662|128.029|audio_features|5LhI8m7n8xlQmNe3b7Rwis|spotify:track:5LhI8m7n8xlQmNe3b7Rwis|https://api.spotify.com/v1/tracks/5LhI8m7n8xlQmNe3b7Rwis|https://api.spotify.com/v1/audio-analysis/5LhI8m7n8xlQmNe3b7Rwis|187088|3|Natanael Cano|Madonna|1|92
0.474|0.72|1|-7.986|0|0.0676|0.0833|0.0|0.0983|0.715|166.737|audio_features|2DbV9TSdeGr5FobCFDRzvq|spotify:track:2DbV9TSdeGr5FobCFDRzvq|https://api.spotify.com/v1/tracks/2DbV9TSdeGr5FobCFDRzvq|https://api.spotify.com/v1/audio-analysis/2DbV9TSdeGr5FobCFDRzvq|155210|3|Bizarrap|Natanael Cano: Bzrp Music Sessions, Vol. 59|2|88
0.791|0.499|8|-8.472|0|0.0509|0.446|2.41e-05|0.0899|0.669|99.986|audio_features|6XjDF6nds4DE2BBbagZol6|spotify:track:6XjDF6nds4DE2BBbagZol6|https://api.spotify.com/v1/tracks/6XjDF6nds4DE2BBbagZol6|https://api.spotify.com/v1/audio-analysis/6XjDF6nds4DE2BBbagZol6|222000|4|FloyyMenor|Gata Only|3|98
0.76|0.747|0|-5.083|0|0.0282|0.0675|2.73e-06|0.309|0.884|128.912|audio_features|3FqUPvubYeRCMsdJ02QyZR|spotify:track:3FqUPvubYeRCMsdJ02QyZR|https://api.spotify.com/v1/tracks/3FqUPvubYeRCMsdJ02QyZR|https://api.spotify.com/v1/audio-analysis/3FqUPvubYeRCMsdJ02QyZR|152079|3|Fuerza Regida|TÚ NAME|4|89
0.769|0.723|7|-5.912|0|0.0458|0.0734|0.0|0.114|0.643|135.814|audio_features|61OsemtnuPJ5R0LMEkw60S|spotify:track:61OsemtnuPJ5R0LMEkw60S|https://api.spotify.com/v1/tracks/61OsemtnuPJ5R0LMEkw60S|https://api.spotify.com/v1/audio-analysis/61OsemtnuPJ5R0LMEkw60S|168427|3|Bizarrap|Entre las de 20|5|83
0.834|0.763|2|-5.475|1|0.0835|0.0354|2.33e-06|0.273|0.633|134.844|audio_features|0dEAiKNbHt4mrjjoiL0loc|spotify:track:0dEAiKNbHt4mrjjoiL0loc|https://api.spotify.com/v1/tracks/0dEAiKNbHt4mrjjoiL0loc|https://api.spotify.com/v1/audio-analysis/0dEAiKNbHt4mrjjoiL0loc|193568|3|Xavi|Corazón de Piedra|6|91
0.787|0.789|4|-6.506|0|0.0472|0.423|0.0|0.0995|0.635|100.112|audio_features|1C84d9abZVKWHT2YYpoean|spotify:track:1C84d9abZVKWHT2YYpoean|https://api.spotify.com/v1/tracks/1C84d9abZVKWHT2YYpoean|https://api.spotify.com/v1/audio-analysis/1C84d9abZVKWHT2YYpoean|147011|1|Luis R Conriquez|Si No Quieres No|7|86
0.705|0.566|3|-7.022|1|0.0528|0.223|0.0|0.0706|0.211|123.955|audio_features|0163eXbLwh5dFhKa73n9wG|spotify:track:0163eXbLwh5dFhKa73n9wG|https://api.spotify.com/v1/tracks/0163eXbLwh5dFhKa73n9wG|https://api.spotify.com/v1/audio-analysis/0163eXbLwh5dFhKa73n9wG|204800|3|Belinda|300 Noches|8|76
0.764|0.668|11|-5.905|0|0.101|0.143|3.46e-06|0.116|0.548|148.055|audio_features|75qepWUT3FEyPyXQMMMVZm|spotify:track:75qepWUT3FEyPyXQMMMVZm|https://api.spotify.com/v1/tracks/75qepWUT3FEyPyXQMMMVZm|https://api.spotify.com/v1/audio-analysis/75qepWUT3FEyPyXQMMMVZm|223784|4|Rels B|Un Desperdicio|9|75
0.728|0.589|7|-7.115|1|0.0376|0.424|7.78e-06|0.166|0.767|77.475|audio_features|6RcAHyC5sAUIbPTkhOQwd8|spotify:track:6RcAHyC5sAUIbPTkhOQwd8|https://api.spotify.com/v1/tracks/6RcAHyC5sAUIbPTkhOQwd8|https://api.spotify.com/v1/audio-analysis/6RcAHyC5sAUIbPTkhOQwd8|179013|4|Junior H|Y LLORO|10|88
