danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|type|id|uri|track_href|analysis_url|duration_ms|time_signature|artist_name|song_name|num_top|popularity
0.732|0.873|0|-5.965|1|0.0321|0.0449|0.000803|0.347|0.662|128.029|audio_features|5LhI8m7n8xlQmNe3b7Rwis|spotify:track:5LhI8m7n8xlQmNe3b7Rwis|https://api.spotify.com/v1/tracks/5LhI8m7n8xlQmNe3b7Rwis|https://api.spotify.com/v1/audio-analysis/5LhI8m7n8xlQmNe3b7Rwis|187088|3|Natanael Cano|Madonna|1|92
0.786|0.786|4|-6.372|0|0.0512|0.445|2.12e-06|0.0947|0.611|100.123|audio_features|1C84d9abZVKWHT2YYpoean|spotify:track:1C84d9abZVKWHT2YYpoean|https://api.spotify.com/v1/tracks/1C84d9abZVKWHT2YYpoean|https://api.spotify.com/v1/audio-analysis/1C84d9abZVKWHT2YYpoean|147011|1|Luis R Conriquez|Si No Quieres No|2|89
0.791|0.499|8|-8.472|0|0.0509|0.446|2.41e-05|0.0899|0.669|99.986|audio_features|6XjDF6nds4DE2BBbagZol6|spotify:track:6XjDF6nds4DE2BBbagZol6|https://api.spotify.com/v1/tracks/6XjDF6nds4DE2BBbagZol6|https://api.spotify.com/v1/audio-analysis/6XjDF6nds4DE2BBbagZol6|222000|4|FloyyMenor|Gata Only|3|98
0.62|0.565|9|-7.303|1|0.0304|0.254|0.0|0.193|0.73|171.024|audio_features|6Bcy1jJFcIAuAzJMtfpImi|spotify:track:6Bcy1jJFcIAuAzJMtfpImi|https://api.spotify.com/v1/tracks/6Bcy1jJFcIAuAzJMtfpImi|https://api.spotify.com/v1/audio-analysis/6Bcy1jJFcIAuAzJMtfpImi|216317|4|Natanael Cano|Ya Te Olvide|4|81
0.76|0.711|1|-6.966|1|0.0646|0.0812|0.0|0.0921|0.798|128.134|audio_features|1xgWArLVFD1AKsLzftZYc2|spotify:track:1xgWArLVFD1AKsLzftZYc2|https://api.spotify.com/v1/tracks/1xgWArLVFD1AKsLzftZYc2|https://api.spotify.com/v1/audio-analysis/1xgWArLVFD1AKsLzftZYc2|196832|3|Oscar Maydon|Elvira|5|86
0.792|0.516|4|-6.097|0|0.027|0.197|0.0|0.0855|0.916|108.939|audio_features|51qYdMBxt9mFbtZBzq1Yfi|spotify:track:51qYdMBxt9mFbtZBzq1Yfi|https://api.spotify.com/v1/tracks/51qYdMBxt9mFbtZBzq1Yfi|https://api.spotify.com/v1/audio-analysis/51qYdMBxt9mFbtZBzq1Yfi|185933|4|Julión Álvarez y su Norteño Banda|Regalo De Dios|6|87
0.76|0.747|0|-5.083|0|0.0282|0.0675|2.73e-06|0.309|0.884|128.912|audio_features|3FqUPvubYeRCMsdJ02QyZR|spotify:track:3FqUPvubYeRCMsdJ02QyZR|https://api.spotify.com/v1/tracks/3FqUPvubYeRCMsdJ02QyZR|https://api.spotify.com/v1/audio-analysis/3FqUPvubYeRCMsdJ02QyZR|152079|3|Fuerza Regida|TÚ NAME|7|89
0.774|0.736|7|-6.157|0|0.0452|0.0933|0.0|0.112|0.685|135.788|audio_features|61OsemtnuPJ5R0LMEkw60S|spotify:track:61OsemtnuPJ5R0LMEkw60S|https://api.spotify.com/v1/tracks/61OsemtnuPJ5R0LMEkw60S|https://api.spotify.com/v1/audio-analysis/61OsemtnuPJ5R0LMEkw60S|168512|3|Bizarrap|Entre las de 20|8|84
0.834|0.763|2|-5.475|1|0.0835|0.0354|2.33e-06|0.273|0.633|134.844|audio_features|0dEAiKNbHt4mrjjoiL0loc|spotify:track:0dEAiKNbHt4mrjjoiL0loc|https://api.spotify.com/v1/tracks/0dEAiKNbHt4mrjjoiL0loc|https://api.spotify.com/v1/audio-analysis/0dEAiKNbHt4mrjjoiL0loc|193568|3|Xavi|Corazón de Piedra|9|89
0.808|0.944|10|-4.863|0|0.0408|0.183|1.11e-06|0.138|0.937|124.934|audio_features|6uIIdjYTxxpWOyWuVXrKQO|spotify:track:6uIIdjYTxxpWOyWuVXrKQO|https://api.spotify.com/v1/tracks/6uIIdjYTxxpWOyWuVXrKQO|https://api.spotify.com/v1/audio-analysis/6uIIdjYTxxpWOyWuVXrKQO|191467|3|Calle 24|Que Onda|10|87
