danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|type|id|uri|track_href|analysis_url|duration_ms|time_signature|artist_name|song_name|num_top|popularity
0.722|0.74|6|-7.22|0|0.063|0.68|3.27e-05|0.176|0.893|132.731|audio_features|2aYZaN5SmkRDLsrrV8GkBQ|spotify:track:2aYZaN5SmkRDLsrrV8GkBQ|https://api.spotify.com/v1/tracks/2aYZaN5SmkRDLsrrV8GkBQ|https://api.spotify.com/v1/audio-analysis/2aYZaN5SmkRDLsrrV8GkBQ|130615|3|Peso Pluma|LA PATRULLA|1|86
0.69|0.482|7|-6.335|0|0.2|0.523|0.0004|0.0728|0.356|100.029|audio_features|5AH31dDNgxCMGDdxubNNn4|spotify:track:5AH31dDNgxCMGDdxubNNn4|https://api.spotify.com/v1/tracks/5AH31dDNgxCMGDdxubNNn4|https://api.spotify.com/v1/audio-analysis/5AH31dDNgxCMGDdxubNNn4|149074|4|Fuerza Regida|NEL|2|86
0.786|0.786|4|-6.372|0|0.0512|0.445|2.12e-06|0.0947|0.611|100.123|audio_features|1C84d9abZVKWHT2YYpoean|spotify:track:1C84d9abZVKWHT2YYpoean|https://api.spotify.com/v1/tracks/1C84d9abZVKWHT2YYpoean|https://api.spotify.com/v1/audio-analysis/1C84d9abZVKWHT2YYpoean|147011|1|Luis R Conriquez|Si No Quieres No|3|88
0.745|0.513|1|-9.116|1|0.087|0.783|0.0|0.216|0.929|109.935|audio_features|5lKFO0PrOC9jmOlPEdjHsL|spotify:track:5lKFO0PrOC9jmOlPEdjHsL|https://api.spotify.com/v1/tracks/5lKFO0PrOC9jmOlPEdjHsL|https://api.spotify.com/v1/audio-analysis/5lKFO0PrOC9jmOlPEdjHsL|154620|3|Tito Double P|DOS DÍAS|4|76
0.782|0.539|11|-10.68|1|0.0716|0.319|0.0|0.0905|0.939|122.149|audio_features|41EOhpn50qvd8iZSKw531W|spotify:track:41EOhpn50qvd8iZSKw531W|https://api.spotify.com/v1/tracks/41EOhpn50qvd8iZSKw531W|https://api.spotify.com/v1/audio-analysis/41EOhpn50qvd8iZSKw531W|160424|3|Peso Pluma|LOS CUADROS|5|83
0.732|0.873|0|-5.965|1|0.0321|0.0449|0.000803|0.347|0.662|128.029|audio_features|5LhI8m7n8xlQmNe3b7Rwis|spotify:track:5LhI8m7n8xlQmNe3b7Rwis|https://api.spotify.com/v1/tracks/5LhI8m7n8xlQmNe3b7Rwis|https://api.spotify.com/v1/audio-analysis/5LhI8m7n8xlQmNe3b7Rwis|187088|3|Natanael Cano|Madonna|6|86
0.583|0.774|5|-5.326|1|0.0337|0.195|0.0|0.258|0.685|119.795|audio_features|587pEvJ7iJhNtcCf5YKEgE|spotify:track:587pEvJ7iJhNtcCf5YKEgE|https://api.spotify.com/v1/tracks/587pEvJ7iJhNtcCf5YKEgE|https://api.spotify.com/v1/audio-analysis/587pEvJ7iJhNtcCf5YKEgE|150365|3|El Padrinito Toys|Tal Vez Fui Yo|7|80
0.924|0.668|11|-6.795|1|0.0469|0.446|0.000594|0.0678|0.787|128.027|audio_features|6WatFBLVB0x077xWeoVc2k|spotify:track:6WatFBLVB0x077xWeoVc2k|https://api.spotify.com/v1/tracks/6WatFBLVB0x077xWeoVc2k|https://api.spotify.com/v1/audio-analysis/6WatFBLVB0x077xWeoVc2k|195824|4|KAROL G|Si Antes Te Hubiera Conocido|8|96
0.724|0.689|7|-7.174|0|0.0524|0.573|6.77e-06|0.0922|0.936|120.208|audio_features|6X6m4xmdFcz31p1h7Qg68c|spotify:track:6X6m4xmdFcz31p1h7Qg68c|https://api.spotify.com/v1/tracks/6X6m4xmdFcz31p1h7Qg68c|https://api.spotify.com/v1/audio-analysis/6X6m4xmdFcz31p1h7Qg68c|146141|3|Tito Double P|EL LOKERON|9|76
0.698|0.891|5|-5.003|0|0.0341|0.0942|0.0|0.133|0.696|124.054|audio_features|6KOnLTb1xLfKDAjMC43I76|spotify:track:6KOnLTb1xLfKDAjMC43I76|https://api.spotify.com/v1/tracks/6KOnLTb1xLfKDAjMC43I76|https://api.spotify.com/v1/audio-analysis/6KOnLTb1xLfKDAjMC43I76|177581|3|Natanael Cano|Giza|10|84
