danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|type|id|uri|track_href|analysis_url|duration_ms|time_signature|artist_name|song_name|num_top|popularity
0.786|0.786|4|-6.372|0|0.0512|0.445|2.12e-06|0.0947|0.611|100.123|audio_features|1C84d9abZVKWHT2YYpoean|spotify:track:1C84d9abZVKWHT2YYpoean|https://api.spotify.com/v1/tracks/1C84d9abZVKWHT2YYpoean|https://api.spotify.com/v1/audio-analysis/1C84d9abZVKWHT2YYpoean|147011|1|Luis R Conriquez|Si No Quieres No|1|89
0.753|0.662|1|-6.702|1|0.0361|0.128|0.0|0.105|0.638|116.916|audio_features|33Nj9AdncSmHbCN3QeSZTL|spotify:track:33Nj9AdncSmHbCN3QeSZTL|https://api.spotify.com/v1/tracks/33Nj9AdncSmHbCN3QeSZTL|https://api.spotify.com/v1/audio-analysis/33Nj9AdncSmHbCN3QeSZTL|204103|3|Oscar Maydon|Volver Al Futuro|2|86
0.924|0.668|11|-6.795|1|0.0469|0.446|0.000594|0.0678|0.787|128.027|audio_features|6WatFBLVB0x077xWeoVc2k|spotify:track:6WatFBLVB0x077xWeoVc2k|https://api.spotify.com/v1/tracks/6WatFBLVB0x077xWeoVc2k|https://api.spotify.com/v1/audio-analysis/6WatFBLVB0x077xWeoVc2k|195824|4|KAROL G|Si Antes Te Hubiera Conocido|3|87
0.732|0.873|0|-5.965|1|0.0321|0.0449|0.000803|0.347|0.662|128.029|audio_features|5LhI8m7n8xlQmNe3b7Rwis|spotify:track:5LhI8m7n8xlQmNe3b7Rwis|https://api.spotify.com/v1/tracks/5LhI8m7n8xlQmNe3b7Rwis|https://api.spotify.com/v1/audio-analysis/5LhI8m7n8xlQmNe3b7Rwis|187088|3|Natanael Cano|Madonna|4|88
0.664|0.769|4|-5.056|1|0.184|0.406|0.0|0.17|0.542|134.97|audio_features|5UHK1rtK4MpBGb0KppIYh4|spotify:track:5UHK1rtK4MpBGb0KppIYh4|https://api.spotify.com/v1/tracks/5UHK1rtK4MpBGb0KppIYh4|https://api.spotify.com/v1/audio-analysis/5UHK1rtK4MpBGb0KppIYh4|269539|3|Peso Pluma|VINO TINTO|5|80
0.722|0.74|6|-7.22|0|0.063|0.68|3.27e-05|0.176|0.893|132.731|audio_features|2aYZaN5SmkRDLsrrV8GkBQ|spotify:track:2aYZaN5SmkRDLsrrV8GkBQ|https://api.spotify.com/v1/tracks/2aYZaN5SmkRDLsrrV8GkBQ|https://api.spotify.com/v1/audio-analysis/2aYZaN5SmkRDLsrrV8GkBQ|130615|3|Peso Pluma|LA PATRULLA|6|78
0.831|0.643|4|-4.659|0|0.0568|0.388|6.94e-05|0.374|0.57|97.013|audio_features|1pymWRCuZfCd0zdiBJo0Hj|spotify:track:1pymWRCuZfCd0zdiBJo0Hj|https://api.spotify.com/v1/tracks/1pymWRCuZfCd0zdiBJo0Hj|https://api.spotify.com/v1/audio-analysis/1pymWRCuZfCd0zdiBJo0Hj|145343|4|Trueno|REAL GANGSTA LOVE|7|91
0.791|0.499|8|-8.472|0|0.0509|0.446|2.41e-05|0.0899|0.669|99.986|audio_features|6XjDF6nds4DE2BBbagZol6|spotify:track:6XjDF6nds4DE2BBbagZol6|https://api.spotify.com/v1/tracks/6XjDF6nds4DE2BBbagZol6|https://api.spotify.com/v1/audio-analysis/6XjDF6nds4DE2BBbagZol6|222000|4|FloyyMenor|Gata Only|8|96
0.701|0.564|7|-6.965|1|0.0375|0.105|0.0|0.185|0.683|143.998|audio_features|71bGl0FoaBGHNT0CGhVOs1|spotify:track:71bGl0FoaBGHNT0CGhVOs1|https://api.spotify.com/v1/tracks/71bGl0FoaBGHNT0CGhVOs1|https://api.spotify.com/v1/audio-analysis/71bGl0FoaBGHNT0CGhVOs1|183253|3|Nueva H|YCQVM|9|81
0.792|0.516|4|-6.097|0|0.027|0.197|0.0|0.0855|0.916|108.939|audio_features|51qYdMBxt9mFbtZBzq1Yfi|spotify:track:51qYdMBxt9mFbtZBzq1Yfi|https://api.spotify.com/v1/tracks/51qYdMBxt9mFbtZBzq1Yfi|https://api.spotify.com/v1/audio-analysis/51qYdMBxt9mFbtZBzq1Yfi|185933|4|Julión Álvarez y su Norteño Banda|Regalo De Dios|10|84
0.76|0.747|0|-5.083|0|0.0282|0.0675|2.73e-06|0.309|0.884|128.912|audio_features|3FqUPvubYeRCMsdJ02QyZR|spotify:track:3FqUPvubYeRCMsdJ02QyZR|https://api.spotify.com/v1/tracks/3FqUPvubYeRCMsdJ02QyZR|https://api.spotify.com/v1/audio-analysis/3FqUPvubYeRCMsdJ02QyZR|152079|3|Fuerza Regida|TÚ NAME|11|85
0.728|0.589|7|-7.115|1|0.0376|0.424|7.78e-06|0.166|0.767|77.475|audio_features|6RcAHyC5sAUIbPTkhOQwd8|spotify:track:6RcAHyC5sAUIbPTkhOQwd8|https://api.spotify.com/v1/tracks/6RcAHyC5sAUIbPTkhOQwd8|https://api.spotify.com/v1/audio-analysis/6RcAHyC5sAUIbPTkhOQwd8|179013|4|Junior H|Y LLORO|12|84
0.808|0.944|10|-4.863|0|0.0408|0.183|1.11e-06|0.138|0.937|124.934|audio_features|6uIIdjYTxxpWOyWuVXrKQO|spotify:track:6uIIdjYTxxpWOyWuVXrKQO|https://api.spotify.com/v1/tracks/6uIIdjYTxxpWOyWuVXrKQO|https://api.spotify.com/v1/audio-analysis/6uIIdjYTxxpWOyWuVXrKQO|191467|3|Calle 24|Que Onda|13|85
0.763|0.626|5|-5.637|0|0.0433|0.0859|0.225|0.205|0.78|100.02|audio_features|5Uptvz6j1sjDKxidAcnH2L|spotify:track:5Uptvz6j1sjDKxidAcnH2L|https://api.spotify.com/v1/tracks/5Uptvz6j1sjDKxidAcnH2L|https://api.spotify.com/v1/audio-analysis/5Uptvz6j1sjDKxidAcnH2L|156171|4|Cris Mj|SI NO ES CONTIGO|14|88
0.774|0.736|7|-6.157|0|0.0452|0.0933|0.0|0.112|0.685|135.788|audio_features|61OsemtnuPJ5R0LMEkw60S|spotify:track:61OsemtnuPJ5R0LMEkw60S|https://api.spotify.com/v1/tracks/61OsemtnuPJ5R0LMEkw60S|https://api.spotify.com/v1/audio-analysis/61OsemtnuPJ5R0LMEkw60S|168512|3|Bizarrap|Entre las de 20|15|81
0.751|0.819|11|-4.372|0|0.0409|0.255|0.0|0.236|0.697|131.842|audio_features|0R6NfOiLzLj4O5VbYSJAjf|spotify:track:0R6NfOiLzLj4O5VbYSJAjf|https://api.spotify.com/v1/tracks/0R6NfOiLzLj4O5VbYSJAjf|https://api.spotify.com/v1/audio-analysis/0R6NfOiLzLj4O5VbYSJAjf|172264|3|Xavi|La Diabla|16|86
0.616|0.834|9|-3.069|1|0.0664|0.06|0.0|0.338|0.746|151.701|audio_features|0O3U5iwTbiXCREMkvotJuN|spotify:track:0O3U5iwTbiXCREMkvotJuN|https://api.spotify.com/v1/tracks/0O3U5iwTbiXCREMkvotJuN|https://api.spotify.com/v1/audio-analysis/0O3U5iwTbiXCREMkvotJuN|165848|4|Grupo Frontera|EL AMOR DE SU VIDA|17|82
0.774|0.86|7|-2.888|0|0.13|0.131|0.0|0.116|0.446|100.019|audio_features|7bywjHOc0wSjGGbj04XbVi|spotify:track:7bywjHOc0wSjGGbj04XbVi|https://api.spotify.com/v1/tracks/7bywjHOc0wSjGGbj04XbVi|https://api.spotify.com/v1/audio-analysis/7bywjHOc0wSjGGbj04XbVi|196800|4|Feid|LUNA|18|90
0.911|0.761|6|-6.712|0|0.0507|0.135|3.48e-05|0.163|0.948|124.983|audio_features|4oowI6IgJp9oqUnJewTp6Y|spotify:track:4oowI6IgJp9oqUnJewTp6Y|https://api.spotify.com/v1/tracks/4oowI6IgJp9oqUnJewTp6Y|https://api.spotify.com/v1/audio-analysis/4oowI6IgJp9oqUnJewTp6Y|224210|4|Tito Double P|LINDA|19|78
0.715|0.764|6|-6.064|0|0.0946|0.666|8.11e-06|0.148|0.735|125.095|audio_features|02cRoSfWU3RJNFyU3o4lhV|spotify:track:02cRoSfWU3RJNFyU3o4lhV|https://api.spotify.com/v1/tracks/02cRoSfWU3RJNFyU3o4lhV|https://api.spotify.com/v1/audio-analysis/02cRoSfWU3RJNFyU3o4lhV|189834|3|Peso Pluma|SANTAL 33|20|76
0.76|0.711|1|-6.966|1|0.0646|0.0812|0.0|0.0921|0.798|128.134|audio_features|1xgWArLVFD1AKsLzftZYc2|spotify:track:1xgWArLVFD1AKsLzftZYc2|https://api.spotify.com/v1/tracks/1xgWArLVFD1AKsLzftZYc2|https://api.spotify.com/v1/audio-analysis/1xgWArLVFD1AKsLzftZYc2|196832|3|Oscar Maydon|Elvira|21|84
0.798|0.797|11|-3.797|0|0.0471|0.382|0.00039|0.164|0.51|94.012|audio_features|3GWUv0TDO5E3cHfsxYeptt|spotify:track:3GWUv0TDO5E3cHfsxYeptt|https://api.spotify.com/v1/tracks/3GWUv0TDO5E3cHfsxYeptt|https://api.spotify.com/v1/audio-analysis/3GWUv0TDO5E3cHfsxYeptt|209424|4|Peso Pluma|TOMMY & PAMELA|22|74
0.618|0.662|4|-6.081|0|0.151|0.17|0.0|0.316|0.426|150.118|audio_features|7xJ1scIZpc33lZ7HpcrjCY|spotify:track:7xJ1scIZpc33lZ7HpcrjCY|https://api.spotify.com/v1/tracks/7xJ1scIZpc33lZ7HpcrjCY|https://api.spotify.com/v1/audio-analysis/7xJ1scIZpc33lZ7HpcrjCY|245501|3|Grupo Firme|El Beneficio De La Duda|23|82
0.834|0.763|2|-5.475|1|0.0835|0.0354|2.33e-06|0.273|0.633|134.844|audio_features|0dEAiKNbHt4mrjjoiL0loc|spotify:track:0dEAiKNbHt4mrjjoiL0loc|https://api.spotify.com/v1/tracks/0dEAiKNbHt4mrjjoiL0loc|https://api.spotify.com/v1/audio-analysis/0dEAiKNbHt4mrjjoiL0loc|193568|3|Xavi|Corazón de Piedra|24|85
0.664|0.421|2|-6.653|0|0.0298|0.543|5.86e-06|0.104|0.674|143.234|audio_features|0lpxDRCONr2FJRqcM3Q74z|spotify:track:0lpxDRCONr2FJRqcM3Q74z|https://api.spotify.com/v1/tracks/0lpxDRCONr2FJRqcM3Q74z|https://api.spotify.com/v1/audio-analysis/0lpxDRCONr2FJRqcM3Q74z|230795|4|Victor Cibrian|Porque Te Vas|25|80
0.819|0.675|7|-4.281|1|0.0727|0.0318|0.0|0.289|0.602|92.99|audio_features|63pLfjK6FvcYJYMGwtHjd6|spotify:track:63pLfjK6FvcYJYMGwtHjd6|https://api.spotify.com/v1/tracks/63pLfjK6FvcYJYMGwtHjd6|https://api.spotify.com/v1/audio-analysis/63pLfjK6FvcYJYMGwtHjd6|207747|4|Feid|SORRY 4 THAT MUCH|26|86
0.737|0.726|3|-7.29|0|0.0537|0.689|0.0|0.169|0.887|127.926|audio_features|5jVExEArvISIYu8mamVgfV|spotify:track:5jVExEArvISIYu8mamVgfV|https://api.spotify.com/v1/tracks/5jVExEArvISIYu8mamVgfV|https://api.spotify.com/v1/audio-analysis/5jVExEArvISIYu8mamVgfV|262883|3|Peso Pluma|LA DURANGO|27|74
0.725|0.709|3|-5.017|0|0.129|0.321|0.000189|0.114|0.648|99.993|audio_features|6a9Z1jUms915w4O7N1PxjY|spotify:track:6a9Z1jUms915w4O7N1PxjY|https://api.spotify.com/v1/tracks/6a9Z1jUms915w4O7N1PxjY|https://api.spotify.com/v1/audio-analysis/6a9Z1jUms915w4O7N1PxjY|193039|4|Rvssian|Santa|28|84
